fips,fct_date,horizon,avl_date,method,value,fct_std
1001,2020-08-02,2,2020-07-12,mob,134.23517665385594,173.9628279147987
1001,2020-07-26,0,2020-07-19,mob,133.27979639940668,159.2709329156839
1001,2020-08-02,1,2020-07-19,mob,140.1037942844097,160.4971992824258
1001,2020-08-09,2,2020-07-19,mob,128.19555016607862,161.34854793235095
1003,2020-08-02,2,2020-07-12,mob,333.97196595117464,301.8538638426631
1003,2020-07-26,0,2020-07-19,mob,727.9557758277608,1172.2950282100605
1003,2020-08-02,1,2020-07-19,mob,568.6907910922641,856.6796115860138
1003,2020-08-09,2,2020-07-19,mob,533.968390362358,553.0806291319126
1005,2020-08-02,2,2020-07-12,mob,104.2527841644108,158.10639607926902
1005,2020-07-26,0,2020-07-19,mob,76.77892712119146,103.59627066270157
1005,2020-08-02,1,2020-07-19,mob,69.71006567200178,101.8494111869152
1005,2020-08-09,2,2020-07-19,mob,73.76376120664953,93.75860451323742
1007,2020-08-02,2,2020-07-12,mob,40.50821958293764,67.90297484194488
1007,2020-07-26,0,2020-07-19,mob,47.17179798035134,76.1323942455033
1007,2020-08-02,1,2020-07-19,mob,42.03803968599608,60.40910031600627
1007,2020-08-09,2,2020-07-19,mob,41.58792440098643,72.85576066677045
1009,2020-08-02,2,2020-07-12,mob,55.634687013319336,67.10945934400283
1009,2020-07-26,0,2020-07-19,mob,84.58088400620981,110.56286883768404
1009,2020-08-02,1,2020-07-19,mob,91.21113219570411,136.96067119202098
1009,2020-08-09,2,2020-07-19,mob,78.64287727464055,107.80496137225012
1011,2020-08-02,2,2020-07-12,mob,63.984120117668006,109.23590064458321
1011,2020-07-26,0,2020-07-19,mob,44.002707901565714,74.6990739348564
1011,2020-08-02,1,2020-07-19,mob,46.06553498747419,94.82106560786804
1011,2020-08-09,2,2020-07-19,mob,48.72143890058483,97.0928562087187
1013,2020-08-02,2,2020-07-12,mob,44.88013994698953,66.53413380233681
1013,2020-07-26,0,2020-07-19,mob,66.18132577307378,91.24428022372416
1013,2020-08-02,1,2020-07-19,mob,72.02704799679037,131.67441801194917
1013,2020-08-09,2,2020-07-19,mob,43.58836761746213,62.6872664929732
1015,2020-08-02,2,2020-07-12,mob,54.40283127841226,50.93418125000073
1015,2020-07-26,0,2020-07-19,mob,87.07377373429978,90.84323416771153
1015,2020-08-02,1,2020-07-19,mob,87.88560728982502,91.14859214403201
1015,2020-08-09,2,2020-07-19,mob,90.16721237728314,90.51112050028124
1017,2020-08-02,2,2020-07-12,mob,70.92121928644227,107.15667856269137
1017,2020-07-26,0,2020-07-19,mob,74.15894572796442,90.89966881622604
1017,2020-08-02,1,2020-07-19,mob,51.42221074389266,59.1610227088746
1017,2020-08-09,2,2020-07-19,mob,56.99828882557693,71.29365400441155
1019,2020-08-02,2,2020-07-12,mob,13.23953163545258,15.676969279540813
1019,2020-07-26,0,2020-07-19,mob,21.47320884141231,29.02814889956511
1019,2020-08-02,1,2020-07-19,mob,21.732375212269755,37.41809563649603
1019,2020-08-09,2,2020-07-19,mob,21.174394896203736,30.947066977935137
1021,2020-08-02,2,2020-07-12,mob,58.5849084368001,103.05657676235045
1021,2020-07-26,0,2020-07-19,mob,65.31260679516159,98.84172267287684
1021,2020-08-02,1,2020-07-19,mob,66.69348186473056,85.25125304431681
1021,2020-08-09,2,2020-07-19,mob,73.20677811054725,94.03202983994787
1023,2020-08-02,2,2020-07-12,mob,20.643024238843527,43.72324569943718
1023,2020-07-26,0,2020-07-19,mob,19.58860371037608,39.10587240772437
1023,2020-08-02,1,2020-07-19,mob,17.895019961807808,33.12996084741763
1023,2020-08-09,2,2020-07-19,mob,18.766271558268087,42.77613244204724
1025,2020-08-02,2,2020-07-12,mob,47.42554473395085,76.37905584585396
1025,2020-07-26,0,2020-07-19,mob,48.50366120211286,64.51978484725534
1025,2020-08-02,1,2020-07-19,mob,48.834326402097176,73.13810464585856
1025,2020-08-09,2,2020-07-19,mob,45.59655265175206,58.77405354479889
1027,2020-08-02,2,2020-07-12,mob,13.224195488350508,22.433601908944393
1027,2020-07-26,0,2020-07-19,mob,14.613223528056546,23.98072577358121
1027,2020-08-02,1,2020-07-19,mob,24.013667284867438,34.943507428159215
1027,2020-08-09,2,2020-07-19,mob,28.06062285077763,47.13382534717238
1029,2020-08-02,2,2020-07-12,mob,29.68170603130576,45.43678917093567
1029,2020-07-26,0,2020-07-19,mob,7.8260834433121085,16.322515336627838
1029,2020-08-02,1,2020-07-19,mob,7.575124396791009,13.015893112853243
1029,2020-08-09,2,2020-07-19,mob,20.429818136344487,32.32461121005967
1031,2020-08-02,2,2020-07-12,mob,83.5839433185923,105.65775517417894
1031,2020-07-26,0,2020-07-19,mob,63.26390053202186,72.78184800174165
1031,2020-08-02,1,2020-07-19,mob,55.497779780204326,73.22829852464842
1031,2020-08-09,2,2020-07-19,mob,84.12641168791221,91.97278106479456
1033,2020-08-02,2,2020-07-12,mob,90.00297590763405,108.13230724821965
1033,2020-07-26,0,2020-07-19,mob,119.17594966143018,126.76537721675273
1033,2020-08-02,1,2020-07-19,mob,123.45079543200217,156.97311817365352
1033,2020-08-09,2,2020-07-19,mob,104.62523960380429,128.97568174870034
1035,2020-08-02,2,2020-07-12,mob,79.99040987493571,156.69431715934962
1035,2020-07-26,0,2020-07-19,mob,56.14689934723993,99.85325767704796
1035,2020-08-02,1,2020-07-19,mob,70.10267358412621,110.57737190836748
1035,2020-08-09,2,2020-07-19,mob,72.11487974029338,118.91353545120009
1037,2020-08-02,2,2020-07-12,mob,8.612383221412394,21.630320150535265
1037,2020-07-26,0,2020-07-19,mob,9.956418308727347,35.29253199969315
1037,2020-08-02,1,2020-07-19,mob,9.343829090447995,16.996364190037802
1037,2020-08-09,2,2020-07-19,mob,8.563599393946463,16.14796371697053
1039,2020-08-02,2,2020-07-12,mob,72.60293627474516,101.58174950810644
1039,2020-07-26,0,2020-07-19,mob,61.35025244786358,71.59155537374748
1039,2020-08-02,1,2020-07-19,mob,58.58793152813097,69.3918586686719
1039,2020-08-09,2,2020-07-19,mob,59.49931611380771,77.59666944847733
1041,2020-08-02,2,2020-07-12,mob,14.712576313663748,23.36364581414093
1041,2020-07-26,0,2020-07-19,mob,17.837445103372566,25.172086899087066
1041,2020-08-02,1,2020-07-19,mob,18.779532807949987,27.898840569216265
1041,2020-08-09,2,2020-07-19,mob,18.058882792176238,30.62002516444386
1043,2020-08-02,2,2020-07-12,mob,121.50093080040216,126.61099775194269
1043,2020-07-26,0,2020-07-19,mob,147.38839340180834,166.28858005346845
1043,2020-08-02,1,2020-07-19,mob,144.92402740725,163.9285442838055
1043,2020-08-09,2,2020-07-19,mob,141.28156785434882,150.29463475918175
1045,2020-08-02,2,2020-07-12,mob,113.66049772346474,153.46402182103648
1045,2020-07-26,0,2020-07-19,mob,88.91388250605594,107.2870497160202
1045,2020-08-02,1,2020-07-19,mob,80.40776272260119,102.64717642619051
1045,2020-08-09,2,2020-07-19,mob,180.97457525434967,233.09401283997795
1047,2020-08-02,2,2020-07-12,mob,157.74713259814388,209.11328353578054
1047,2020-07-26,0,2020-07-19,mob,132.18979477737113,179.6316226927356
1047,2020-08-02,1,2020-07-19,mob,137.63957086740214,181.6497942851492
1047,2020-08-09,2,2020-07-19,mob,153.86174547958132,223.58642678731582
1049,2020-08-02,2,2020-07-12,mob,90.38833929758141,9.000959285432097
1049,2020-07-26,0,2020-07-19,mob,115.77034117611973,10.756218294370749
1049,2020-08-02,1,2020-07-19,mob,115.06346068977342,11.29959320004854
1049,2020-08-09,2,2020-07-19,mob,115.86069701501884,10.852123957162714
1051,2020-08-02,2,2020-07-12,mob,219.89685218117347,292.258580388919
1051,2020-07-26,0,2020-07-19,mob,184.6631428770125,210.21938433350638
1051,2020-08-02,1,2020-07-19,mob,205.0145859012209,259.66856926792383
1051,2020-08-09,2,2020-07-19,mob,202.23537895105545,209.54421657212532
1053,2020-08-02,2,2020-07-12,mob,222.06688808645808,289.40349969948244
1053,2020-07-26,0,2020-07-19,mob,763.2943113158024,2873.199549953408
1053,2020-08-02,1,2020-07-19,mob,408.4019153341664,1078.4690503931931
1053,2020-08-09,2,2020-07-19,mob,300.5826958516602,379.1241115222216
1055,2020-08-02,2,2020-07-12,mob,119.78676541261127,118.06845475082329
1055,2020-07-26,0,2020-07-19,mob,201.3696128653769,192.11278885930764
1055,2020-08-02,1,2020-07-19,mob,211.10017184940529,229.3112419971461
1055,2020-08-09,2,2020-07-19,mob,165.6607662753744,154.3172932408032
1057,2020-08-02,2,2020-07-12,mob,15.370647794634115,29.86345483455203
1057,2020-07-26,0,2020-07-19,mob,41.33153017347657,136.01877493887238
1057,2020-08-02,1,2020-07-19,mob,47.80739408680871,191.62572624934785
1057,2020-08-09,2,2020-07-19,mob,24.399369041620112,49.8639998013779
1059,2020-08-02,2,2020-07-12,mob,134.71231535960356,231.67396116265977
1059,2020-07-26,0,2020-07-19,mob,103.86767689615615,155.81478700960255
1059,2020-08-02,1,2020-07-19,mob,124.09836881964377,171.43066128768675
1059,2020-08-09,2,2020-07-19,mob,134.5432645415154,188.61199792003387
1061,2020-08-02,2,2020-07-12,mob,13.55693811702338,15.80248392196609
1061,2020-07-26,0,2020-07-19,mob,63.735000729813564,191.22094253995132
1061,2020-08-02,1,2020-07-19,mob,15.499538883204824,23.11258886560585
1061,2020-08-09,2,2020-07-19,mob,14.776204571916542,24.59704909181405
1063,2020-08-02,2,2020-07-12,mob,42.707756787767956,84.9151644417968
1063,2020-07-26,0,2020-07-19,mob,118.23643548096662,446.44721450719794
1063,2020-08-02,1,2020-07-19,mob,90.42092992213458,330.6732897808061
1063,2020-08-09,2,2020-07-19,mob,37.12779042203504,74.91454915381479
1065,2020-08-02,2,2020-07-12,mob,67.61834220916761,120.19013315331092
1065,2020-07-26,0,2020-07-19,mob,49.068712497724626,81.63372106900623
1065,2020-08-02,1,2020-07-19,mob,45.94911378808575,73.18515312005066
1065,2020-08-09,2,2020-07-19,mob,47.56773819466615,75.81615255113198
1067,2020-08-02,2,2020-07-12,mob,12.643516557248619,18.21452684965172
1067,2020-07-26,0,2020-07-19,mob,21.771948959483318,37.59658572345797
1067,2020-08-02,1,2020-07-19,mob,22.317789152544027,34.06004971136949
1067,2020-08-09,2,2020-07-19,mob,23.29235776678718,38.713229056700136
1069,2020-08-02,2,2020-07-12,mob,90.61173659675984,82.44427117761992
1069,2020-07-26,0,2020-07-19,mob,137.8670486199162,120.99689186009962
1069,2020-08-02,1,2020-07-19,mob,123.8518868007793,114.29264619027997
1069,2020-08-09,2,2020-07-19,mob,136.4109396066948,133.64212921411837
1071,2020-08-02,2,2020-07-12,mob,77.77419874664648,96.5437068787758
1071,2020-07-26,0,2020-07-19,mob,112.21670051451414,164.2086408776999
1071,2020-08-02,1,2020-07-19,mob,110.00428745149296,136.02376742961022
1071,2020-08-09,2,2020-07-19,mob,95.25228602348615,262.208672112768
1073,2020-08-02,2,2020-07-12,mob,1174.6497641224805,922.617259788908
1073,2020-07-26,0,2020-07-19,mob,890.5797614500276,734.625842036407
1073,2020-08-02,1,2020-07-19,mob,862.3122794345512,614.5511728924405
1073,2020-08-09,2,2020-07-19,mob,1511.3172795142239,1146.5507515116053
1075,2020-08-02,2,2020-07-12,mob,22.72656047104968,57.5487140669802
1075,2020-07-26,0,2020-07-19,mob,25.85887555098723,57.13687077033836
1075,2020-08-02,1,2020-07-19,mob,20.837558702677818,33.03490475472679
1075,2020-08-09,2,2020-07-19,mob,24.982916895552183,41.99016929600722
1077,2020-08-02,2,2020-07-12,mob,89.07586809728218,99.25077311680424
1077,2020-07-26,0,2020-07-19,mob,109.10749659213474,117.5217110114084
1077,2020-08-02,1,2020-07-19,mob,115.20791445826146,117.12456703954828
1077,2020-08-09,2,2020-07-19,mob,114.44325205587973,139.55550140902105
1079,2020-08-02,2,2020-07-12,mob,22.346343987606925,32.64319105741859
1079,2020-07-26,0,2020-07-19,mob,31.324645738496795,55.76513531434447
1079,2020-08-02,1,2020-07-19,mob,31.73980653446381,50.79404307519726
1079,2020-08-09,2,2020-07-19,mob,30.205234285660897,45.60384379123093
1081,2020-08-02,2,2020-07-12,mob,327.70945717691484,302.63764830948037
1081,2020-07-26,0,2020-07-19,mob,341.2712387871868,326.1783111633065
1081,2020-08-02,1,2020-07-19,mob,358.87685288646003,330.76470180155695
1081,2020-08-09,2,2020-07-19,mob,322.62014708083575,312.65330098479853
1083,2020-08-02,2,2020-07-12,mob,110.21800608257959,124.4097812186233
1083,2020-07-26,0,2020-07-19,mob,162.81196470368758,179.6527343573693
1083,2020-08-02,1,2020-07-19,mob,154.60460009545162,205.9590881050877
1083,2020-08-09,2,2020-07-19,mob,130.13862950640387,145.3554863112475
1085,2020-08-02,2,2020-07-12,mob,96.51636434212696,251.66704937759656
1085,2020-07-26,0,2020-07-19,mob,71.94326956809837,140.11681948227414
1085,2020-08-02,1,2020-07-19,mob,71.10083133174695,141.10573389004657
1085,2020-08-09,2,2020-07-19,mob,70.99106011853827,125.45488320371405
1087,2020-08-02,2,2020-07-12,mob,44.19392560106793,74.8427996331813
1087,2020-07-26,0,2020-07-19,mob,50.885875925675144,80.0962417135921
1087,2020-08-02,1,2020-07-19,mob,50.30666402112322,94.44310811806852
1087,2020-08-09,2,2020-07-19,mob,47.99038400638354,79.33751483385873
1089,2020-08-02,2,2020-07-12,mob,278.316297056944,221.6554569469167
1089,2020-07-26,0,2020-07-19,mob,422.31197356852067,381.0358632864582
1089,2020-08-02,1,2020-07-19,mob,429.1511185190917,380.44066207761597
1089,2020-08-09,2,2020-07-19,mob,403.03350938677636,317.65284589022184
1091,2020-08-02,2,2020-07-12,mob,54.49713977052362,70.97214044099955
1091,2020-07-26,0,2020-07-19,mob,62.0615525222692,95.12657153273184
1091,2020-08-02,1,2020-07-19,mob,61.6397465245722,92.11025430110588
1091,2020-08-09,2,2020-07-19,mob,59.11622900909133,79.66346466967252
1093,2020-08-02,2,2020-07-12,mob,85.73649256534918,136.30050878443416
1093,2020-07-26,0,2020-07-19,mob,412.3191174892127,2848.665202670356
1093,2020-08-02,1,2020-07-19,mob,267.3944230816151,709.5753111699049
1093,2020-08-09,2,2020-07-19,mob,138.61817797470948,196.10337556611745
1095,2020-08-02,2,2020-07-12,mob,239.5064311269816,289.73646663121707
1095,2020-07-26,0,2020-07-19,mob,306.3445695215778,349.9415299561473
1095,2020-08-02,1,2020-07-19,mob,320.40801998897916,327.3176122796263
1095,2020-08-09,2,2020-07-19,mob,287.4899993319582,322.24381588601017
1097,2020-08-02,2,2020-07-12,mob,635.1660891506548,568.4668479410044
1097,2020-07-26,0,2020-07-19,mob,773.1011229537794,632.5955930812374
1097,2020-08-02,1,2020-07-19,mob,766.5014884539837,648.1125958010326
1097,2020-08-09,2,2020-07-19,mob,779.225802309904,770.8293291602521
1099,2020-08-02,2,2020-07-12,mob,58.18884479289612,107.07924743857015
1099,2020-07-26,0,2020-07-19,mob,74.42960522671224,95.07377959234924
1099,2020-08-02,1,2020-07-19,mob,63.182796709458245,84.48439141751065
1099,2020-08-09,2,2020-07-19,mob,60.04489581835324,95.54294552904236
1101,2020-08-02,2,2020-07-12,mob,620.0088858272475,514.9055444036348
1101,2020-07-26,0,2020-07-19,mob,632.1471874871429,573.862215016934
1101,2020-08-02,1,2020-07-19,mob,669.8277838502582,709.0320737004715
1101,2020-08-09,2,2020-07-19,mob,627.081637949484,580.8140247130755
1103,2020-08-02,2,2020-07-12,mob,258.6093318778761,252.00975240758385
1103,2020-07-26,0,2020-07-19,mob,313.0118261560332,311.43124292672286
1103,2020-08-02,1,2020-07-19,mob,303.50145482905486,304.6689490063137
1103,2020-08-09,2,2020-07-19,mob,318.98915199537856,396.52687346355174
1105,2020-08-02,2,2020-07-12,mob,48.600114823252746,85.70304243391783
1105,2020-07-26,0,2020-07-19,mob,64.27854239657195,119.36986257168199
1105,2020-08-02,1,2020-07-19,mob,61.77131234539325,114.40495202785179
1105,2020-08-09,2,2020-07-19,mob,64.09134535467382,135.84516957681885
1107,2020-08-02,2,2020-07-12,mob,44.740678919964246,66.42594243825266
1107,2020-07-26,0,2020-07-19,mob,70.00393198950556,113.86182861467873
1107,2020-08-02,1,2020-07-19,mob,75.42935145371894,129.92536057510884
1107,2020-08-09,2,2020-07-19,mob,47.39961548252565,73.76329913487909
1109,2020-08-02,2,2020-07-12,mob,77.3384138272682,120.30186392149159
1109,2020-07-26,0,2020-07-19,mob,69.93937735522674,81.76891554464639
1109,2020-08-02,1,2020-07-19,mob,75.30272685617523,103.3274346274181
1109,2020-08-09,2,2020-07-19,mob,72.96716071350939,95.28727502692286
1111,2020-08-02,2,2020-07-12,mob,8.178898435173572,14.095251019118773
1111,2020-07-26,0,2020-07-19,mob,84.77413098738889,145.70460357553736
1111,2020-08-02,1,2020-07-19,mob,84.95494461392725,128.54172676082428
1111,2020-08-09,2,2020-07-19,mob,22.086229180450612,38.26946491119733
1113,2020-08-02,2,2020-07-12,mob,199.2681896265101,234.6406824126581
1113,2020-07-26,0,2020-07-19,mob,122.00737541221909,140.09379698221383
1113,2020-08-02,1,2020-07-19,mob,117.9629274117162,119.44739178314457
1113,2020-08-09,2,2020-07-19,mob,115.06911203809513,125.36338662156868
1115,2020-08-02,2,2020-07-12,mob,52.16873872526255,5.255713241102369
1115,2020-07-26,0,2020-07-19,mob,70.62274706996901,7.027740000986711
1115,2020-08-02,1,2020-07-19,mob,71.03727508546491,6.998680424947072
1115,2020-08-09,2,2020-07-19,mob,71.1732754959844,7.217202948069682
1117,2020-08-02,2,2020-07-12,mob,218.0523128735248,212.8806038333195
1117,2020-07-26,0,2020-07-19,mob,272.2872442578743,269.74619758504264
1117,2020-08-02,1,2020-07-19,mob,233.0869120268734,237.37582132660407
1117,2020-08-09,2,2020-07-19,mob,271.2333511646104,240.11818245514598
1119,2020-08-02,2,2020-07-12,mob,19.430311684231786,39.491586857910406
1119,2020-07-26,0,2020-07-19,mob,20.119397631892678,29.271524279505922
1119,2020-08-02,1,2020-07-19,mob,22.728911444532947,45.94785933123603
1119,2020-08-09,2,2020-07-19,mob,21.374392795531648,47.04852830026414
1121,2020-08-02,2,2020-07-12,mob,62.964975020427296,72.5447408331762
1121,2020-07-26,0,2020-07-19,mob,90.52627997524395,96.41778234691826
1121,2020-08-02,1,2020-07-19,mob,93.77040617457158,104.15164043489895
1121,2020-08-09,2,2020-07-19,mob,72.26126505665512,75.35648472841605
1123,2020-08-02,2,2020-07-12,mob,71.66090833670387,85.87061822127555
1123,2020-07-26,0,2020-07-19,mob,57.04949871719568,70.58587925583075
1123,2020-08-02,1,2020-07-19,mob,60.52522635800495,79.08034910907266
1123,2020-08-09,2,2020-07-19,mob,63.71218806060274,84.26956712622587
1125,2020-08-02,2,2020-07-12,mob,412.4982201657479,376.5111876352301
1125,2020-07-26,0,2020-07-19,mob,442.14804634079115,440.4891048126061
1125,2020-08-02,1,2020-07-19,mob,454.57312652468585,389.7492583268788
1125,2020-08-09,2,2020-07-19,mob,453.8450418263877,414.5074727321087
1127,2020-08-02,2,2020-07-12,mob,193.1110806881217,228.21871505011916
1127,2020-07-26,0,2020-07-19,mob,736.5094158201323,2698.927189251451
1127,2020-08-02,1,2020-07-19,mob,361.0234888088818,705.0701846597534
1127,2020-08-09,2,2020-07-19,mob,212.72599751174846,280.446599709314
1129,2020-08-02,2,2020-07-12,mob,35.069383744412114,65.94360702772462
1129,2020-07-26,0,2020-07-19,mob,40.81620261485348,92.47784934661732
1129,2020-08-02,1,2020-07-19,mob,38.728667459158025,75.90874621984459
1129,2020-08-09,2,2020-07-19,mob,44.36618839486041,100.76517102742777
1131,2020-08-02,2,2020-07-12,mob,58.81347127429371,100.75756159998846
1131,2020-07-26,0,2020-07-19,mob,64.4797991363203,155.58371707965478
1131,2020-08-02,1,2020-07-19,mob,57.46180061680714,111.92166378562887
1131,2020-08-09,2,2020-07-19,mob,61.94950009364785,139.45358869598707
1133,2020-08-02,2,2020-07-12,mob,45.35615933474286,66.8582840522573
1133,2020-07-26,0,2020-07-19,mob,67.79091886168958,128.45599243318807
1133,2020-08-02,1,2020-07-19,mob,63.68026284699725,84.36423947177585
1133,2020-08-09,2,2020-07-19,mob,50.773372378619975,74.54506030837783
2013,2020-08-02,2,2020-07-12,mob,1.0026192248728725,0.09796024069326746
2013,2020-07-26,0,2020-07-19,mob,1.0039880087689053,0.10126019644920124
2013,2020-08-02,1,2020-07-19,mob,1.00711918426823,0.09991377883647
2013,2020-08-09,2,2020-07-19,mob,1.003833144722609,0.09642793032237214
2016,2020-08-02,2,2020-07-12,mob,2.9404583175441976,7.260542682643727
2016,2020-07-26,0,2020-07-19,mob,3.039562092406233,16.028501264304552
2016,2020-08-02,1,2020-07-19,mob,2.9710216201483064,6.8904728222492
2016,2020-08-09,2,2020-07-19,mob,2.5501064531574618,4.433520751853875
2020,2020-08-02,2,2020-07-12,mob,193.9271850949057,164.92213148638345
2020,2020-07-26,0,2020-07-19,mob,382.26651670240386,479.6589059432378
2020,2020-08-02,1,2020-07-19,mob,371.0585672648812,467.0718142673906
2020,2020-08-09,2,2020-07-19,mob,263.90955390466576,226.26301952645542
2050,2020-08-02,2,2020-07-12,mob,3.6492341932613126,9.63998075693788
2050,2020-07-26,0,2020-07-19,mob,8.741425703686701,81.75141425564433
2050,2020-08-02,1,2020-07-19,mob,5.338138083227866,15.928769487374403
2050,2020-08-09,2,2020-07-19,mob,2.540118600802848,4.707428761663238
2060,2020-08-02,2,2020-07-12,mob,3.063664601691656,15.595816572859016
2060,2020-07-26,0,2020-07-19,mob,2.7177875117317383,4.808816685301452
2060,2020-08-02,1,2020-07-19,mob,2.8364883046881477,5.6839518931638375
2060,2020-08-09,2,2020-07-19,mob,2.6766832762577706,5.148854558734756
2068,2020-08-02,2,2020-07-12,mob,2.4944882962197013,4.2051884826710095
2068,2020-07-26,0,2020-07-19,mob,2.3629302388408817,4.306234319391975
2068,2020-08-02,1,2020-07-19,mob,2.3450999789241758,5.011876336141142
2068,2020-08-09,2,2020-07-19,mob,2.3901530561579523,4.1136626859585235
2070,2020-08-02,2,2020-07-12,mob,2.5077995245708133,4.739193830599652
2070,2020-07-26,0,2020-07-19,mob,2.5721305594834605,5.166941878045788
2070,2020-08-02,1,2020-07-19,mob,2.6394604578672203,6.667546169526718
2070,2020-08-09,2,2020-07-19,mob,2.931272352844787,6.938904407264446
2090,2020-08-02,2,2020-07-12,mob,54.49601502072472,56.93710877410314
2090,2020-07-26,0,2020-07-19,mob,188.980445261186,1146.7101017983487
2090,2020-08-02,1,2020-07-19,mob,111.73331009749649,308.48601072140883
2090,2020-08-09,2,2020-07-19,mob,71.57519239329204,76.75261967305919
2100,2020-08-02,2,2020-07-12,mob,2.741022073445452,4.751575113440052
2100,2020-07-26,0,2020-07-19,mob,3.1213996317917707,16.618664847391347
2100,2020-08-02,1,2020-07-19,mob,2.4366946798652944,4.586841387102707
2100,2020-08-09,2,2020-07-19,mob,2.44786930975646,5.749808106300835
2105,2020-08-02,2,2020-07-12,mob,1.0038709453629633,0.1012747558526035
2105,2020-07-26,0,2020-07-19,mob,1.0027675962246214,0.09321307026230452
2105,2020-08-02,1,2020-07-19,mob,1.003506581066424,0.10137689127883924
2105,2020-08-09,2,2020-07-19,mob,1.0107482597169104,0.10068373955208504
2110,2020-08-02,2,2020-07-12,mob,11.70689390625499,14.655281139389196
2110,2020-07-26,0,2020-07-19,mob,16.618855146560257,36.72420480877672
2110,2020-08-02,1,2020-07-19,mob,23.96134754979125,43.926090226866684
2110,2020-08-09,2,2020-07-19,mob,21.105993636248336,25.60571854471221
2122,2020-08-02,2,2020-07-12,mob,47.40915127211398,67.25777091128434
2122,2020-07-26,0,2020-07-19,mob,45.24693427164536,67.834415794802
2122,2020-08-02,1,2020-07-19,mob,42.6918765227594,50.830553315741746
2122,2020-08-09,2,2020-07-19,mob,44.88061378971362,66.76705295761555
2130,2020-08-02,2,2020-07-12,mob,1.7304448139172528,2.6021758712393304
2130,2020-07-26,0,2020-07-19,mob,5.6753944375774905,10.582800263082596
2130,2020-08-02,1,2020-07-19,mob,5.192582449958554,8.684176305567735
2130,2020-08-09,2,2020-07-19,mob,5.625668638818712,11.28880494423551
2150,2020-08-02,2,2020-07-12,mob,2.14855917261912,3.5234569811672856
2150,2020-07-26,0,2020-07-19,mob,2.0122284747262933,4.069285713375077
2150,2020-08-02,1,2020-07-19,mob,2.219330484588708,3.3051343586917827
2150,2020-08-09,2,2020-07-19,mob,2.2699483450566973,4.273116359729124
2158,2020-08-02,2,2020-07-12,mob,1.006752403259388,0.09961374353582464
2158,2020-07-26,0,2020-07-19,mob,1.002421609753818,0.10159325488714284
2158,2020-08-02,1,2020-07-19,mob,1.0083458981476754,0.09903524758955573
2158,2020-08-09,2,2020-07-19,mob,1.0054413778589537,0.09735384286788183
2164,2020-08-02,2,2020-07-12,mob,1.0072785458284643,0.09905125339378633
2164,2020-07-26,0,2020-07-19,mob,1.0069453376626851,0.10008378691094592
2164,2020-08-02,1,2020-07-19,mob,1.010553073718682,0.1036175106036457
2164,2020-08-09,2,2020-07-19,mob,1.0062190416030068,0.10051163278474397
2170,2020-08-02,2,2020-07-12,mob,79.38938119718419,87.39041795679772
2170,2020-07-26,0,2020-07-19,mob,131.71445622127305,252.9524805318372
2170,2020-08-02,1,2020-07-19,mob,118.12873247226659,222.38350294417268
2170,2020-08-09,2,2020-07-19,mob,83.05361604575256,97.11270221509224
2180,2020-08-02,2,2020-07-12,mob,5.137152740867684,9.889188493409163
2180,2020-07-26,0,2020-07-19,mob,4.196395637454858,14.61491603497787
2180,2020-08-02,1,2020-07-19,mob,3.7394089212075774,6.783382644294009
2180,2020-08-09,2,2020-07-19,mob,4.107204863729908,7.7514876933541075
2185,2020-08-02,2,2020-07-12,mob,2.2693291867288155,4.056630023333653
2185,2020-07-26,0,2020-07-19,mob,2.68182380609166,6.235872666498687
2185,2020-08-02,1,2020-07-19,mob,2.5601518437773065,5.542090394750102
2185,2020-08-09,2,2020-07-19,mob,2.805485090858642,6.0424030699724085
2188,2020-08-02,2,2020-07-12,mob,2.951560309411385,6.482900270330303
2188,2020-07-26,0,2020-07-19,mob,4.376991884524294,8.447427091696376
2188,2020-08-02,1,2020-07-19,mob,4.18308744611014,11.014306333855174
2188,2020-08-09,2,2020-07-19,mob,3.556085510921109,8.226606186457254
2195,2020-08-02,2,2020-07-12,mob,1.0066373246618274,0.098601524840482
2195,2020-07-26,0,2020-07-19,mob,1.0025995237690597,0.0991868835252954
2195,2020-08-02,1,2020-07-19,mob,0.9954285946518252,0.0984218593870487
2195,2020-08-09,2,2020-07-19,mob,1.0059248858337837,0.09868705083456084
2198,2020-08-02,2,2020-07-12,mob,1.006522502537171,0.10018391369441976
2198,2020-07-26,0,2020-07-19,mob,1.0039471612049309,0.10369905683130982
2198,2020-08-02,1,2020-07-19,mob,1.001919676768221,0.09861697830635804
2198,2020-08-09,2,2020-07-19,mob,1.0045871853911987,0.10122538468761873
2220,2020-08-02,2,2020-07-12,mob,1.829843654050048,3.4606611341759246
2220,2020-07-26,0,2020-07-19,mob,2.4205827204145485,3.78358948004812
2220,2020-08-02,1,2020-07-19,mob,2.813862687352373,5.034585657351236
2220,2020-08-09,2,2020-07-19,mob,3.1272492620981467,6.050796895972903
2230,2020-08-02,2,2020-07-12,mob,1.0062435762136113,0.10289649031950107
2230,2020-07-26,0,2020-07-19,mob,1.0051139403423013,0.10202847584262438
2230,2020-08-02,1,2020-07-19,mob,1.0087036062697332,0.10007989375614564
2230,2020-08-09,2,2020-07-19,mob,1.0033393682924077,0.10050254350659404
2240,2020-08-02,2,2020-07-12,mob,1.8814323727156281,3.132947303282717
